Gene	TCGA-AA-3850	TCGA-AA-3845	TCGA-AA-3852	TCGA-G4-6302	TCGA-AA-3492	TCGA-G4-6314	TCGA-G4-6311	TCGA-A6-2672	TCGA-DM-A1HA	TCGA-DM-A1HB
AC243967.1	0	0	5	1	0	6	10	1	0	6
AL031666.2	13	2	6	6	1	4	2	184	11	17
AC074135.1	0	0	0	2	3	0	1	6	0	0
AC010624.2	0	0	0	1	0	1	2	0	0	1
AC022144.1	7	17	29	9	38	19	38	162	45	30
AC063977.1	0	0	0	0	0	0	0	5	0	0
AC026803.2	5	5	3	8	1	15	10	17	30	22
AC024075.1	18	19	18	30	16	25	22	83	7	20
AC008750.3	0	0	1	0	0	0	1	8	14	3
ZSCAN5DP	3	0	1	0	0	2	1	39	0	7
CCDC177	1	0	0	5	1	1	0	0	0	2
AC009955.2	0	3	0	0	0	0	0	0	16	0
SNX6P1	2	7	1	0	4	0	0	0	1	0
AC007785.1	1	0	1	3	0	1	3	4	0	0
AC139769.2	2	0	8	0	3	0	1	16	2	0
AC010320.1	1	0	0	2	1	1	0	2	0	1
AC010300.1	20	8	10	29	0	28	32	279	74	29
EIF1P6	1	2	0	1	0	3	3	16	10	3
AC008946.1	4	3	4	6	2	14	12	6	36	16
AC022762.2	13	13	15	16	10	44	42	47	109	29
AC010328.1	0	0	0	1	1	0	8	4	4	0
AC008878.1	0	0	0	1	0	1	0	1	2	0
MIR3188	0	1	0	0	0	0	0	2	0	0
OR10B1P	0	0	0	0	0	0	0	0	1	0
AC011523.1	19	5	27	4	0	2	0	1	0	5
MAGEA9B	0	0	0	0	1	0	0	0	0	0
AC007292.1	11	14	10	8	9	27	38	25	23	23
AC008750.4	1	3	0	0	9	1	0	0	1	2
AC130469.1	4	0	1	1	0	1	0	2	0	2
AC063977.2	1	0	0	0	1	0	0	2	0	0
AC010605.1	0	0	0	0	0	0	0	0	0	0
CARD8-AS1	81	63	37	127	46	106	115	27	23	71
PTOV1-AS1	108	212	159	347	215	677	399	317	726	679
SSX4	0	0	0	0	0	0	0	0	0	0
AC010320.2	0	1	0	0	0	2	1	26	1	0
OR4G4P	0	0	0	0	0	0	0	0	0	0
AC243960.1	16	14	7	15	4	20	22	8	9	10
AC005253.1	30	23	26	33	9	53	58	72	89	37
AC243960.2	1	8	2	3	37	3	6	8	20	12
AC007228.1	0	0	0	0	0	0	0	0	1	0
LINC01785	0	0	0	0	0	0	1	0	0	0
AC010616.1	6	32	3	4	7	5	14	47	217	16
NBPF12	69	58	49	196	71	278	349	516	328	173
AC018766.1	1	7	6	1	14	2	7	36	7	4
AC012313.2	8	7	2	13	1	14	14	13	8	17
AL158151.3	0	0	0	0	0	0	0	0	0	0
AC008395.1	0	1	0	0	0	0	1	17	2	1
AC007785.2	0	0	0	0	0	0	0	3	0	0
AC067969.1	0	0	0	0	0	0	0	0	0	0
AC020913.1	0	1	0	0	1	1	0	14	0	2
BNIP3P40	0	0	0	0	0	2	1	11	3	0
NAPA-AS1	25	48	39	46	27	77	21	96	97	76
TOP1P1	0	0	0	0	0	0	0	0	0	0
FMR1-AS1	3	1	2	0	1	1	4	7	11	1
OR5AH1P	0	0	0	0	0	0	0	0	0	0
AC004466.1	2	2	3	3	2	5	1	22	7	1
AC006539.2	0	0	0	0	0	1	0	48	0	0
AC135012.2	2	0	0	1	0	3	0	1	0	0
BNIP3P30	0	0	0	0	0	0	0	1	0	0
AC016885.3	0	0	0	0	0	0	0	0	0	0
AC123912.1	1	0	0	4	0	1	1	0	1	0
AC008982.1	0	0	0	0	1	0	0	1	0	0
AC008764.2	27	24	11	54	18	54	27	47	26	30
AC093063.1	0	3	0	0	2	0	0	6	2	0
GABRQ	1	0	1	15	4	5	1	0	14	2
AC022154.1	3	5	2	4	0	4	5	17	7	10
ZNF649-AS1	0	0	0	1	3	1	1	2	2	2
ZNF725P	0	0	0	0	0	0	0	0	0	0
CYP2G2P	0	0	0	0	0	0	0	1	0	0
SLC6A14	474	1231	44	33	85	219	69	630	546	19910
AC124856.1	1	0	4	0	4	0	0	1	0	0
AC003005.1	0	0	0	0	0	0	0	0	0	0
AC008687.2	0	0	0	0	0	0	0	3	2	0
AC008761.1	0	0	0	0	0	0	0	0	0	0
AC073539.2	0	0	0	0	0	0	0	0	0	0
VN1R84P	0	0	2	1	0	4	0	5	7	5
AC010615.2	2	6	3	18	1	14	18	4	38	6
AC010336.3	0	0	0	0	0	0	0	0	0	0
AC026304.1	4	1	3	6	5	9	6	0	15	12
AC003002.1	0	0	0	0	0	0	0	0	0	0
PCGF7P	1	2	2	4	3	5	2	0	3	0
NIFKP6	0	0	0	0	2	0	1	4	1	2
VN1R91P	0	0	0	0	0	0	0	0	0	0
AC010336.4	0	0	0	0	0	0	0	0	0	0
AC005176.1	0	0	0	0	0	0	0	0	0	0
AC010524.1	1	0	1	4	0	2	0	19	0	1
AC004076.1	0	0	0	1	0	0	1	2	3	0
AC073342.2	0	1	1	0	0	0	0	7	1	0
AC007192.1	0	2	0	2	0	0	4	3	1	4
BNIP3P22	0	0	0	0	0	1	0	0	0	0
AC073188.6	0	0	0	0	0	3	0	1	0	0
SMIM17	2	12	2	4	0	6	7	0	3	0
AC092364.1	0	0	0	0	0	0	0	1	0	0
AC008392.1	0	0	0	0	0	0	0	0	18	3
AC005785.1	12	17	3	11	7	35	36	38	81	26
AC010503.1	0	0	0	0	0	0	0	0	0	0
AC002985.1	0	0	0	0	0	1	0	0	1	1
AC010335.1	1	4	0	0	0	2	3	12	4	3
AC020915.2	1	5	9	6	1	5	12	152	17	8
AC010503.2	0	0	0	0	0	0	0	0	0	0
AC008763.1	2	2	3	4	6	27	9	23	101	8
AC005261.1	217	732	280	950	120	1864	1080	474	2225	1744
AC114786.4	0	0	0	0	0	0	0	0	0	0
AC137932.3	31	46	10	26	11	78	56	178	238	45
AC008040.5	0	0	0	0	0	0	0	0	0	0
OPN1MW	0	0	0	0	0	0	0	0	0	0
EEF1A1P7	5	5	4	11	72	8	9	17	58	33
ARL14EPL	0	1	0	0	0	2	0	0	4	0
AC010487.1	22	13	19	35	38	38	54	20	113	98
AC012313.3	2	6	3	3	3	5	10	17	4	15
AC008743.1	0	0	0	0	0	0	0	0	0	0
FKBP4P6	0	3	1	0	3	0	0	0	1	0
TCP11X1	0	0	0	0	0	0	0	0	0	0
IGFL1P2	0	0	0	0	0	0	0	0	0	0
AC123912.2	0	0	0	0	0	0	0	0	0	0
AIRN	0	0	0	0	0	0	0	64	0	0
AC011445.1	13	0	1	4	1	1	2	0	0	0
AC003005.2	0	0	0	0	0	0	0	0	1	4
SIGLEC29P	0	0	0	0	0	0	0	0	0	0
VN1R78P	0	0	0	0	0	0	0	0	0	0
AC123912.3	0	2	0	0	0	0	1	0	0	0
AC090004.1	6	1	8	5	3	23	18	46	8	18
AC010328.2	3	5	1	0	12	0	0	1	5	0
AC008687.3	1	0	0	0	0	0	1	2	6	0
AL589765.5	2	0	1	0	0	2	2	4	6	4
AC020908.1	0	0	0	1	0	3	0	3	1	1
AC006547.3	0	0	0	0	0	0	0	0	0	0
AC008751.1	0	3	0	0	0	0	0	15	0	0
POLR3GP1	0	3	0	0	0	0	1	2	2	22
AC022145.1	0	0	0	0	0	0	0	0	0	0
CLEC4GP1	2	0	0	3	0	4	0	2	0	1
LINC02560	0	1	0	0	0	2	9	3	4	0
AC008764.3	0	0	0	0	0	0	0	0	0	0
AC006272.1	0	3	0	1	1	2	4	4	2	5
LINC01872	0	0	0	0	0	0	0	1	0	0
SCGB1C2	0	0	0	0	0	0	0	0	0	1
BNIP3P25	0	1	0	1	0	0	0	66	2	0
LRRC2-AS1	1	0	3	6	0	7	4	1	4	0
AC008739.1	0	0	0	0	0	0	0	0	0	0
AL132655.1	4	0	0	0	0	0	4	1	1	0
BNIP3P23	0	0	0	0	0	0	0	0	0	0
SIGLEC20P	0	0	0	0	0	1	0	0	0	0
FAM156A	2	1	2	7	4	10	10	11	10	14
AC006115.1	0	0	0	0	0	1	0	1	0	0
AC243960.3	0	2	1	3	0	7	6	4	7	10
VN1R81P	3	21	2	8	4	30	14	26	29	41
L34079.1	0	0	0	0	0	0	0	0	1	0
AC092279.1	46	17	18	67	11	113	60	149	42	6
SMC5-AS1	5	17	14	10	2	16	13	73	56	7
AC010271.1	4	5	1	6	4	11	9	15	12	3
AC010325.2	0	0	0	0	0	0	0	7	0	0
AC025588.1	2	2	1	5	9	0	0	5	3	0
FENDRR	488	103	140	3538	192	2416	314	170	8	50
AC011473.1	0	0	0	0	0	0	0	0	0	0
MTCO3P42	0	0	0	0	0	0	0	0	0	0
AC003682.1	0	0	0	0	0	2	1	1	1	0
AC008763.2	0	0	0	0	0	0	0	4	1	0
AC007785.3	0	6	0	0	4	6	5	4	25	0
AC132192.2	8	10	12	11	5	61	35	53	181	47
AC006115.2	0	0	0	0	0	0	0	0	0	0
TRMT112P6	3	9	6	0	18	8	2	4	19	7
AC010329.1	0	0	1	0	0	0	0	4	0	0
AC093503.1	0	0	1	2	0	1	2	8	8	2
MTDHP3	0	1	0	4	0	1	0	0	0	0
AC011530.1	0	0	2	1	0	1	0	0	0	0
BNIP3P27	0	0	0	1	0	5	1	7	0	0
HAVCR1P1	1	3	1	12	1	13	3	4	49	1
SSX2B	0	0	0	0	0	0	1	0	0	0
AC073544.1	0	0	0	0	0	0	0	79	0	0
AC011468.3	0	0	0	2	0	1	0	0	1	0
AC006262.1	1	4	4	20	0	16	10	22	6	11
AC078899.2	0	0	0	0	0	0	0	0	0	0
AC008403.1	0	0	0	0	0	0	0	0	1	0
BNIP3P38	0	0	0	0	0	0	0	1	1	0
MIR4453HG	69	76	46	66	33	178	164	228	387	140
AP002884.4	1	0	0	1	0	3	0	19	2	0
AC092327.1	0	0	0	0	3	0	0	0	0	0
AC011462.2	0	0	0	0	0	0	0	0	0	0
LINC01862	0	0	0	0	0	0	0	0	0	0
FO681491.1	0	0	0	0	0	0	0	0	0	0
AC245884.9	0	1	1	1	0	3	4	10	9	0
AC011479.2	2	0	4	1	2	3	0	24	3	4
AC018755.2	0	0	0	0	0	0	0	0	0	0
AC135012.3	13	1	10	66	10	53	16	3	0	1
AC026202.3	0	0	0	0	0	0	1	0	0	1
IFNL3P1	6	4	0	2	22	1	13	3	10	1
AC020915.3	23	53	55	97	114	244	109	610	163	180
AC020909.2	0	0	0	0	0	0	0	0	0	0
AC008750.5	4	2	0	5	0	9	4	24	9	7
VN1R83P	1	9	1	6	1	21	20	36	10	10
CYP2T3P	6	1	1	4	9	17	16	10	26	18
AC008403.2	0	0	0	0	0	0	1	2	1	1
AC060814.3	0	0	0	0	0	0	0	0	0	0
LINC02135	0	0	1	2	0	0	0	0	0	0
AC003002.2	0	0	0	2	1	3	0	5	3	2
MTDHP4	0	0	0	1	0	4	0	0	1	0
AC005523.1	0	4	0	0	0	2	2	0	1	7
VN1R88P	0	0	0	0	0	0	0	0	0	0
AC012313.4	1	2	4	10	4	26	13	32	5	16
VN1R107P	0	0	0	2	0	0	0	0	2	0
AC123912.4	15	8	0	6	0	5	8	0	0	0
AC010636.1	0	0	0	1	0	0	0	0	0	0
AC003956.1	0	2	5	1	0	2	11	16	0	2
AC005339.1	0	0	0	0	0	0	0	0	0	0
AC100781.1	0	0	0	0	0	0	0	0	0	0
AC007228.2	5	39	19	44	6	105	65	0	89	78
AC011815.1	32	15	40	54	17	112	41	151	154	58
AL031282.2	24	42	13	58	0	116	35	132	143	78
LINC01966	0	0	0	0	0	0	0	1	0	0
SIGLEC18P	1	0	0	0	0	0	3	2	0	0
AC243960.4	0	0	0	0	0	0	0	3	0	0
AC011466.1	0	2	0	0	0	2	2	13	4	7
AC073389.1	12	13	2	5	5	22	8	17	24	9
AC011467.2	0	0	0	0	0	0	0	0	0	0
AC008749.1	0	0	0	0	0	0	0	0	0	0
AC063977.3	0	0	0	0	0	0	0	0	0	0
AC073539.3	0	0	0	0	0	0	0	0	0	0
VN1R80P	0	0	0	0	1	1	0	13	1	1
AC115522.1	6	10	1	13	50	11	6	49	2	10
AC053503.5	5	3	6	20	3	18	6	4	47	17
AC011497.1	0	0	0	0	0	0	0	0	0	0
MAGEA2	0	0	2	0	0	0	0	0	0	0
AC008878.2	2	0	0	0	0	0	0	0	0	0
AL353803.5	0	0	0	0	0	0	0	1	1	0
AC092316.1	0	0	0	0	0	0	0	1	1	0
AC078899.3	0	0	0	0	0	0	0	0	0	0
IGFL2-AS1	1	0	2	8	3	3	37	31	9	55
AC020904.1	0	0	1	0	0	0	0	0	1	0
AL121761.2	6	7	30	151	7	16	34	12	5	205
TEX13A	0	0	0	0	0	0	0	0	0	0
AP003680.1	4	4	3	2	1	13	5	7	12	5
AC011495.2	0	0	0	0	0	0	0	0	0	0
AC006486.1	0	0	0	0	0	0	0	0	0	0
AL132655.2	1	1	1	3	0	0	4	0	9	0
AC005759.1	0	0	0	2	0	1	1	2	12	1
CTAG1A	0	0	0	0	0	0	0	0	0	0
AC063977.4	0	0	0	0	0	0	0	0	0	0
MIMT1	0	0	0	2	0	0	1	0	0	0
AC008687.4	0	1	2	3	3	0	0	9	10	0
LINC00664	3	4	4	4	1	4	6	8	7	1
AL589863.1	0	0	0	0	0	0	0	24	0	0
LETM1P2	1	0	0	4	1	1	1	3	0	0
WBP1LP6	0	0	0	0	0	0	0	0	0	0
AC008687.5	0	0	0	0	0	0	0	0	2	0
AC016586.1	5	2	2	7	0	14	16	176	1	6
AC004597.1	0	0	0	1	0	0	0	0	0	0
AC011495.3	0	0	0	0	0	0	0	0	0	0
AC005261.2	0	0	0	7	3	7	0	4	0	0
COX6CP7	0	0	0	0	0	0	0	0	0	0
AC020910.1	0	0	0	1	0	0	0	4	0	0
AC011494.1	0	0	0	0	0	0	0	0	0	0
AC010643.1	18	5	5	3	0	54	0	1	3	3
ZNF723	0	0	0	0	0	1	0	0	0	0
BNIP3P26	0	0	0	0	0	0	1	2	0	0
AL158151.4	3	9	1	4	0	15	0	14	37	5
AC008750.6	0	0	0	0	0	0	0	0	0	0
AC005261.3	27	65	19	140	42	219	136	71	568	186
BNIP3P33	0	0	0	0	0	0	0	0	0	0
AC005261.4	0	0	0	1	0	0	1	3	1	1
AC020922.2	0	0	0	0	0	0	0	0	0	0
AC010615.3	0	0	0	1	0	0	0	4	0	0
AC245128.3	7	5	6	4	0	0	10	11	0	13
MTCO3P39	0	0	0	0	0	0	0	0	0	0
HSFX2	0	0	0	3	0	0	0	0	0	0
AC011473.2	0	0	0	0	0	0	0	0	0	0
AC010503.3	0	0	0	0	0	0	0	0	0	0
AC008737.1	1	5	0	6	0	0	2	42	6	1
AC008758.4	4	3	1	9	3	14	10	3	6	19
AL365205.2	0	0	0	0	0	0	0	0	0	0
AC010519.1	0	4	2	2	0	1	1	1	1	0
AC022432.1	0	0	0	0	0	0	2	2	0	1
AC010522.1	1	0	1	6	4	16	11	9	6	7
SCGB1B2P	3	5	9	10	0	7	7	0	48	22
LINC01081	1	0	1	11	0	12	3	0	0	0
AC104534.1	15	3	2	55	6	19	19	50	9	17
ADGRE4P	8	13	7	8	4	2	4	32	1	15
AC011465.1	0	0	0	0	0	1	1	37	12	5
AC020914.1	0	0	0	0	0	0	0	0	0	0
VN1R87P	0	0	0	1	0	0	0	0	0	0
AC008764.4	5	2	0	0	3	1	1	4	3	3
VN1R90P	0	0	0	0	0	0	0	2	0	0
AC008537.1	0	0	0	0	0	0	0	0	0	0
AC027307.3	2	4	18	24	12	22	17	40	3	20
AC106774.4	0	0	0	0	0	0	0	2	0	0
AC114797.1	0	0	0	0	0	0	0	0	0	0
LINC02132	0	0	0	1	0	0	4	2	0	1
AC007193.1	0	0	0	0	0	0	0	0	0	0
AC004264.1	13	37	14	13	3	27	29	42	13	70
AL049747.1	0	0	0	1	0	0	0	2	2	2
AC011467.3	0	0	0	0	0	0	0	0	0	0
BNIP3P32	0	0	0	0	0	0	0	0	0	0
AC243967.2	1	0	35	2	0	3	5	66	0	6
OR7A1P	0	0	0	0	0	0	0	0	0	0
Z69706.1	10	2	6	29	2	49	26	12	6	24
AC020914.2	0	0	0	0	0	0	0	0	0	0
AC092070.1	0	0	0	0	0	0	0	0	0	0
AC025278.1	0	0	0	0	0	1	0	0	0	0
SIGLEC31P	0	0	0	0	0	0	0	0	1	0
SIGLEC22P	1	2	3	3	1	1	4	5	1	1
AC020909.3	0	0	0	0	0	0	0	0	0	0
AL118506.1	59	38	81	120	39	194	264	199	396	170
AC008878.3	0	0	0	27	0	9	3	0	0	0
AC011487.2	0	0	0	1	1	1	0	1	0	0
AC020915.4	0	0	0	0	0	0	1	0	2	0
ESPNP	0	29	5	0	1	11	1	4	63	9
AC008758.5	0	0	0	0	0	0	0	0	0	0
AC022601.1	0	0	1	0	0	0	0	4	0	0
IGFL1P1	0	0	0	2	0	1	2	9	2	9
PNMA6B	0	0	0	2	0	2	2	0	0	0
AC010323.2	0	0	0	1	3	0	0	8	3	4
AC022150.1	0	0	0	0	0	0	0	0	0	0
AC008750.7	1	0	0	0	0	4	1	23	0	1
AC010620.1	0	0	0	0	0	0	0	0	0	0
PLCE1-AS1	1	0	1	2	0	1	2	60	1	0
A1BG-AS1	12	11	10	43	11	41	23	31	8	2
AC009955.3	1	0	0	0	0	8	0	3	2	0
CSAG2	0	0	1	0	0	0	0	0	0	0
AL627309.6	23	3	5	18	3	166	106	0	179	2
AC011473.3	0	0	1	0	1	1	0	0	0	0
VN1R92P	0	0	0	0	0	0	0	0	0	0
AC012313.5	10	8	5	32	6	40	16	57	5	16
CSAG3	0	0	11	0	0	0	0	0	0	0
AC012616.1	0	0	0	0	0	0	0	0	0	0
AL354861.3	1	0	2	6	0	19	1	3	8	0
AC136469.1	0	0	0	2	0	0	0	8	1	1
AC005387.1	2	2	4	5	1	3	3	3	11	5
CT45A1	0	0	0	0	0	0	0	0	0	0
LINC01711	1	3	3	37	5	14	8	8	4	6
CKS1BP3	0	0	1	0	0	3	1	4	6	0
AC010422.2	1	1	1	1	2	6	11	4	6	5
AC002128.1	13	15	5	6	2	19	26	87	31	6
MRPS17P1	1	1	0	0	1	1	1	3	10	0
AL772155.3	0	0	0	0	0	0	0	0	0	0
AC068020.1	0	0	0	0	0	0	0	0	0	0
SIGLEC26P	0	0	0	0	0	0	0	0	0	0
ERVV-2	0	0	0	5	12	0	0	3	2	2
AC119751.7	0	0	0	0	0	0	0	0	0	0
AC022150.2	13	13	17	20	6	22	33	13	188	1
MIA-RAB4B	0	0	0	0	0	0	2	1	10	1
AC024563.1	0	0	0	0	0	3	0	0	0	0
AC005253.2	0	0	0	0	0	0	0	0	0	0
AC020908.2	0	0	0	0	0	0	0	0	0	0
AC011462.3	0	0	0	0	0	2	0	7	0	1
SPANXN2	0	0	0	0	0	0	0	0	0	0
CDC42EP3P1	0	1	0	0	0	0	0	70	0	0
FAM236B	0	0	0	0	0	0	0	0	0	0
VN1R82P	0	0	0	0	0	0	0	0	0	0
MAN1B1-AS1	102	21	81	75	22	68	59	17	233	57
DNAJC19P3	0	0	0	0	0	0	1	0	0	0
AC092070.2	9	7	5	15	0	21	39	1	111	2
SLC6A21P	3	1	0	1	0	1	2	3	2	0
KRT18P40	0	1	0	0	3	0	0	1	6	2
AC008622.1	0	0	0	0	0	0	0	0	0	0
HOMER3-AS1	0	1	3	9	0	1	0	2	1	1
AC063977.5	0	0	0	0	0	0	0	0	0	0
AC011467.4	0	0	0	0	2	0	0	0	0	0
AC003006.1	0	0	0	1	0	0	0	0	3	4
MTRNR2L12	20	17	21	44	5	16	14	1401	35	55
AC016629.1	0	0	0	0	0	0	0	0	0	0
AC010319.2	0	0	0	0	0	0	0	0	0	0
LINC01838	0	0	0	0	0	0	0	0	0	1
AP001462.1	3	1	1	5	2	18	11	7	29	8
BNIP3P24	0	0	1	0	0	2	1	6	1	3
AC008554.1	0	0	0	0	0	0	0	2	0	1
AC024075.2	78	127	78	178	58	211	144	208	177	183
AC011455.1	0	2	0	0	1	0	2	1	0	0
AC010319.3	0	0	0	0	0	0	0	0	0	0
AC012313.6	3	0	8	5	4	14	4	22	31	10
BNIP3P18	0	0	0	0	0	0	0	0	0	0
CALR3	0	1	0	0	0	2	2	0	10	0
AC020908.3	0	0	0	0	0	2	0	26	0	2
ZNF728	0	0	0	21	0	6	0	3	0	0
AC009955.4	0	0	0	1	0	3	0	1	3	2
AC007842.1	7	8	5	15	3	13	20	49	90	20
AC063977.6	0	0	0	0	0	1	0	0	4	0
AC010328.3	0	0	0	0	0	0	0	5	0	0
AC008764.5	0	0	0	0	0	0	0	0	0	0
AC008555.2	4	4	5	20	7	15	7	19	79	2
AC010624.3	1	1	1	1	1	3	5	0	3	2
AC010646.1	0	0	0	0	0	0	1	0	0	0
CT45A3	0	0	0	0	0	0	0	0	0	0
TPRG1LP1	9	1	1	7	3	1	0	1	5	2
LSP1P1	0	1	0	0	0	0	0	0	0	0
AC010320.3	0	0	2	0	1	11	6	67	10	0
AC012313.7	0	0	0	0	0	0	0	0	0	0
AC092329.1	0	0	0	0	0	0	0	0	0	0
AC010636.2	0	0	0	1	0	0	0	0	0	0
TRABD2B	11	6	19	332	6	235	47	50	41	34
FAM90A28P	0	0	0	0	1	0	0	0	0	0
HNRNPA1P52	0	3	0	1	25	4	1	3	7	6
AC007193.2	1	0	0	2	0	0	0	2	0	0
AL137002.1	0	0	0	0	0	1	1	4	14	5
SIGLEC28P	0	0	0	0	0	0	0	0	0	0
BRI3BPP1	0	0	0	0	0	1	0	3	0	0
ZNF209P	0	0	1	0	0	0	0	0	0	1
AC010336.5	1	0	0	6	0	3	0	3	0	1
AC007192.2	0	0	0	0	0	0	0	0	0	0
AC092301.1	7	6	4	8	0	10	9	33	12	8
AC007193.3	0	0	0	0	0	0	0	0	0	0
LYPLA2P2	2	4	5	0	15	0	0	2	3	1
BNIP3P13	0	0	0	0	0	0	0	0	0	0
AL009178.2	5	1	18	45	6	74	23	24	95	23
AC010618.2	3	4	0	2	0	7	7	5	9	2
AC011443.1	1	2	1	1	0	0	0	62	1	0
AP001160.3	17	12	10	38	23	33	25	33	86	65
L34079.2	0	1	1	1	1	1	1	17	1	0
AC011452.1	0	0	0	0	0	0	0	0	0	0
AC020914.3	0	0	0	0	0	0	0	0	0	0
LINC01082	24	9	17	28	7	86	29	0	0	4
AC011500.1	0	0	0	0	0	0	0	0	0	0
AL445223.1	1	0	0	0	0	0	1	66	1	0
FBXO17	35	25	33	483	17	288	119	38	7	30
AC005387.2	4	0	1	3	1	3	2	28	13	4
AC006942.1	5	7	3	10	4	5	6	0	15	1
AC003973.1	0	0	0	0	0	0	0	0	0	0
AC019171.1	0	0	1	17	3	13	2	0	2	0
LINC00528	13	7	7	13	2	7	15	29	5	2
ZNF350-AS1	1	0	0	3	0	13	4	21	3	6
AC008751.2	0	0	0	0	0	0	0	2	1	0
AC010615.4	0	0	0	0	0	0	0	0	0	0
AC010422.3	46	52	98	8	98	13	5	2	38	25
AC008894.2	4	6	2	2	5	5	8	93	9	4
AC011445.2	0	0	1	2	0	5	5	0	10	6
SIGLEC21P	0	0	0	0	0	0	0	0	0	0
AC024603.1	0	0	0	0	0	0	0	0	0	0
DNAJC19P2	0	0	0	0	0	0	0	0	0	0
AC245036.5	0	0	0	0	0	0	0	0	0	0
AC078899.4	0	0	0	0	0	0	1	0	0	0
AC020922.3	3	3	8	5	1	2	2	11	3	9
AC244505.7	0	0	0	0	0	0	0	0	1	0
AC092070.3	0	0	0	0	0	0	0	0	0	0
AC011503.1	0	2	0	1	1	0	2	0	0	0
AC093503.2	0	0	0	0	0	0	0	0	0	0
ZSCAN16-AS1	24	25	76	140	27	124	76	40	109	231
AC005614.1	0	1	1	0	0	0	0	1	3	1
AC008734.1	1	0	0	0	3	4	1	4	0	1
AC020907.3	0	0	0	1	0	1	1	2	4	2
FKBP1AP1	0	6	0	0	1	1	1	41	4	5
AC010463.1	0	0	0	0	0	0	0	0	0	0
MAGIX	249	121	108	183	44	83	102	25	375	347
AC011467.5	0	0	0	0	0	0	0	0	0	0
AC007292.2	5	9	8	6	7	31	17	67	11	10
VN1R93P	0	0	0	1	0	0	0	0	0	0
AC011466.2	0	0	0	0	0	1	0	17	2	2
GOLGA2P9	0	0	1	0	0	0	0	0	0	1
IKBKG	57	49	75	185	56	286	259	75	252	165
ZNF587B	179	147	186	319	292	494	276	948	1016	717
VN1R85P	0	0	0	3	0	1	0	0	0	0
AC022150.3	0	0	0	0	2	1	0	0	0	0
AC010463.2	1	0	0	0	0	0	0	2	0	0
PTOV1-AS2	67	37	69	33	27	125	127	92	208	85
AC092071.1	0	0	0	0	0	0	1	0	0	0
AC243960.5	0	0	0	0	0	0	0	2	0	0
AL356740.2	1	0	2	0	0	1	2	23	16	0
LINC01233	0	0	0	0	0	0	0	0	0	0
AC120349.1	0	0	2	1	0	6	1	63	0	2
AC008878.4	0	0	0	0	0	0	0	0	0	0
AC008739.2	0	0	0	0	0	1	3	1	4	6
AC011497.2	0	2	1	25	6	16	25	14	65	18
AL356740.3	5	0	1	1	1	0	6	17	128	4
ITGB1P1	7	28	2	28	21	9	9	16	83	12
AC012493.2	0	0	0	0	0	0	0	0	0	0
AC020895.1	0	0	0	0	0	0	0	0	0	0
RAB11B-AS1	55	41	83	121	44	166	86	91	126	209
AL365205.3	0	0	0	1	0	0	0	0	0	1
AC018755.3	14	3	3	7	2	9	7	1	0	14
AC010139.1	0	0	0	0	0	0	0	0	0	0
AC008655.2	1	0	0	1	3	9	2	3	3	0
AC011503.2	1	9	2	4	0	4	3	5	2	4
AC008764.6	12	8	18	28	7	55	57	18	161	39
AC008734.2	0	0	0	0	0	0	0	2	0	0
AC008750.8	0	0	1	9	1	7	3	0	9	7
SPIB	177	67	115	30	7	49	276	22	2	12
NXF2	0	0	0	0	0	0	0	0	0	0
LINC01224	129	25	89	146	369	88	216	130	55	201
AC008737.2	0	0	0	0	0	0	0	0	0	0
PLA2G4C-AS1	2	0	1	5	0	3	0	5	1	0
ZNF92P3	0	0	0	1	0	0	0	0	0	0
AC104521.1	0	0	1	2	0	7	3	2	2	3
AC024075.3	9	11	13	10	6	13	18	63	8	16
BNIP3P8	1	3	0	0	0	0	0	22	0	2
OPN1MW3	0	0	0	0	0	0	0	0	0	0
NXF2B	0	0	0	0	0	0	0	0	0	0
AC010618.3	16	31	20	20	17	35	26	123	90	28
AC011491.2	0	0	0	0	0	0	2	14	1	3
AC067969.2	0	0	0	0	0	0	0	0	0	0
AC006967.3	0	0	0	15	65	1	1	0	0	0
AC022145.2	0	0	0	0	1	0	0	0	0	0
AC005515.2	0	2	0	0	0	0	0	0	0	0
AP001160.4	4	6	0	1	0	9	0	14	24	15
H3.Y	0	0	0	0	0	0	0	0	0	0
AC010619.1	0	0	0	0	0	0	0	0	0	0
AC092329.2	0	2	0	0	0	1	0	0	0	0
AC012313.8	0	2	10	7	11	36	25	43	8	62
AC244102.2	0	0	0	0	0	0	0	0	0	0
AC010326.2	1	0	0	2	4	4	0	0	5	1
AC020913.2	0	0	0	0	1	1	1	17	4	0
AC010319.4	4	10	0	3	6	4	10	67	28	10
Z69720.1	0	0	0	0	0	0	0	1	1	0
AC006272.2	1	1	0	5	15	4	5	9	4	5
ERVK9-11	2	1	2	16	0	17	11	12	5	1
AC008635.1	0	2	0	1	1	3	2	15	2	1
AL589765.6	0	0	1	0	0	1	10	4	9	2
AC011483.2	0	1	0	0	0	1	0	0	16	0
DMRTC1	0	0	0	0	0	0	0	0	0	1
AC003973.2	0	0	0	0	0	0	0	0	0	0
ZNF92P2	0	0	0	0	0	0	0	0	0	0
AC110792.2	0	0	0	0	0	0	0	61	0	0
BNIP3P34	0	0	0	0	0	0	0	0	0	0
AC024257.3	3	2	3	6	0	2	2	12	1	0
